Training loss,Training accuracy,Training precision,Training recall,Training F1_score,Training AUROC,Validation loss,Validation accuracy,Validation precision,Validation recall,Validation F1_score,Validation AUROC,Epoch
0.15,0.961,0.044,0.003,0.005,0.735,0.144,0.962,0.0,0.0,0.0,0.789,1.0
0.102,0.969,0.731,0.225,0.345,0.903,0.076,0.974,0.771,0.43,0.552,0.957,2.0
0.071,0.976,0.763,0.476,0.586,0.961,0.071,0.975,0.776,0.477,0.591,0.964,3.0
0.066,0.977,0.783,0.511,0.618,0.967,0.071,0.975,0.764,0.478,0.588,0.965,4.0
0.062,0.978,0.79,0.538,0.64,0.972,0.073,0.974,0.678,0.577,0.623,0.966,5.0
0.059,0.979,0.796,0.56,0.658,0.975,0.071,0.975,0.753,0.509,0.607,0.966,6.0
0.056,0.979,0.8,0.582,0.674,0.978,0.071,0.975,0.704,0.564,0.626,0.965,7.0
0.054,0.98,0.803,0.602,0.688,0.981,0.076,0.972,0.639,0.578,0.607,0.965,8.0
0.051,0.981,0.809,0.623,0.704,0.983,0.074,0.975,0.767,0.481,0.592,0.964,9.0
0.049,0.982,0.814,0.641,0.717,0.985,0.077,0.975,0.805,0.442,0.571,0.963,10.0
0.048,0.982,0.816,0.649,0.723,0.986,0.076,0.973,0.674,0.567,0.616,0.962,11.0
0.046,0.983,0.819,0.668,0.736,0.987,0.077,0.972,0.651,0.568,0.607,0.961,12.0
0.044,0.983,0.823,0.678,0.744,0.988,0.081,0.973,0.649,0.587,0.617,0.961,13.0
0.043,0.983,0.826,0.688,0.751,0.989,0.081,0.974,0.709,0.513,0.595,0.96,14.0
0.042,0.984,0.828,0.698,0.757,0.99,0.084,0.974,0.727,0.492,0.587,0.957,15.0
0.04,0.984,0.832,0.711,0.767,0.99,0.086,0.973,0.665,0.544,0.598,0.958,16.0
0.04,0.984,0.832,0.714,0.768,0.991,0.082,0.972,0.654,0.558,0.602,0.96,17.0
0.039,0.985,0.836,0.722,0.775,0.991,0.087,0.974,0.736,0.483,0.583,0.958,18.0
0.039,0.985,0.836,0.726,0.777,0.991,0.083,0.973,0.668,0.556,0.607,0.959,19.0
0.037,0.985,0.838,0.737,0.784,0.992,0.088,0.973,0.674,0.546,0.604,0.957,20.0
0.036,0.986,0.84,0.746,0.79,0.992,0.094,0.974,0.72,0.495,0.587,0.954,21.0
0.036,0.986,0.844,0.75,0.794,0.993,0.089,0.97,0.592,0.605,0.599,0.958,22.0
0.035,0.986,0.847,0.751,0.796,0.993,0.093,0.973,0.687,0.528,0.597,0.955,23.0
0.035,0.986,0.847,0.759,0.801,0.993,0.089,0.973,0.672,0.54,0.599,0.955,24.0
0.035,0.986,0.845,0.755,0.797,0.993,0.093,0.971,0.619,0.587,0.602,0.956,25.0
0.033,0.987,0.855,0.77,0.81,0.994,0.091,0.971,0.626,0.584,0.605,0.957,26.0
0.033,0.987,0.855,0.772,0.812,0.994,0.096,0.972,0.644,0.548,0.592,0.954,27.0
0.033,0.987,0.856,0.776,0.814,0.994,0.099,0.972,0.644,0.554,0.596,0.951,28.0
0.033,0.987,0.856,0.772,0.812,0.994,0.095,0.972,0.657,0.544,0.595,0.953,29.0
0.032,0.987,0.859,0.781,0.818,0.994,0.104,0.966,0.546,0.633,0.586,0.953,30.0
0.032,0.987,0.86,0.783,0.82,0.994,0.098,0.972,0.649,0.562,0.602,0.953,31.0
0.031,0.988,0.861,0.79,0.824,0.994,0.101,0.97,0.61,0.592,0.601,0.953,32.0
0.031,0.988,0.863,0.792,0.826,0.994,0.102,0.973,0.7,0.489,0.576,0.95,33.0
0.031,0.988,0.865,0.793,0.827,0.994,0.102,0.971,0.626,0.57,0.597,0.951,34.0
0.03,0.988,0.865,0.799,0.83,0.995,0.104,0.972,0.652,0.54,0.591,0.95,35.0
0.03,0.989,0.87,0.806,0.837,0.995,0.105,0.969,0.589,0.579,0.584,0.952,36.0
0.029,0.989,0.871,0.805,0.836,0.995,0.106,0.973,0.7,0.506,0.588,0.946,37.0
0.029,0.989,0.87,0.809,0.838,0.995,0.101,0.972,0.641,0.549,0.591,0.95,38.0
0.029,0.989,0.869,0.808,0.838,0.995,0.103,0.972,0.646,0.549,0.594,0.951,39.0
0.028,0.989,0.876,0.819,0.847,0.995,0.104,0.972,0.643,0.561,0.599,0.95,40.0
0.028,0.989,0.873,0.818,0.844,0.995,0.103,0.971,0.635,0.557,0.593,0.95,41.0
0.028,0.989,0.875,0.815,0.844,0.995,0.104,0.973,0.668,0.541,0.598,0.948,42.0
0.027,0.99,0.879,0.828,0.853,0.995,0.104,0.971,0.617,0.571,0.593,0.949,43.0
0.027,0.989,0.878,0.823,0.849,0.995,0.109,0.971,0.645,0.529,0.581,0.945,44.0
0.027,0.989,0.878,0.825,0.851,0.995,0.104,0.97,0.595,0.591,0.593,0.951,45.0
0.026,0.99,0.881,0.834,0.857,0.996,0.108,0.968,0.571,0.61,0.59,0.951,46.0
0.026,0.99,0.881,0.837,0.858,0.996,0.11,0.97,0.601,0.58,0.59,0.947,47.0
0.026,0.99,0.884,0.836,0.859,0.996,0.11,0.971,0.625,0.564,0.593,0.945,48.0
0.026,0.99,0.884,0.84,0.861,0.996,0.11,0.97,0.602,0.593,0.598,0.949,49.0
0.025,0.99,0.886,0.841,0.863,0.996,0.105,0.972,0.651,0.551,0.597,0.947,50.0
