Training loss,Training accuracy,Training precision,Training recall,Training F1_score,Training AUROC,Validation loss,Validation accuracy,Validation precision,Validation recall,Validation F1_score,Validation AUROC,Epoch
0.072,0.976,0.744,0.538,0.625,0.959,0.052,0.982,0.811,0.674,0.736,0.981,1.0
0.048,0.983,0.825,0.666,0.737,0.985,0.048,0.983,0.831,0.662,0.737,0.984,2.0
0.043,0.984,0.841,0.698,0.763,0.988,0.048,0.983,0.816,0.696,0.751,0.985,3.0
0.039,0.986,0.858,0.726,0.786,0.991,0.049,0.983,0.834,0.659,0.736,0.984,4.0
0.035,0.987,0.877,0.755,0.811,0.993,0.049,0.983,0.794,0.71,0.75,0.984,5.0
0.03,0.989,0.895,0.786,0.837,0.995,0.051,0.982,0.821,0.67,0.738,0.983,6.0
0.026,0.991,0.914,0.82,0.864,0.996,0.054,0.982,0.823,0.649,0.726,0.981,7.0
0.022,0.992,0.928,0.847,0.885,0.997,0.055,0.981,0.78,0.69,0.732,0.981,8.0
0.019,0.994,0.942,0.877,0.908,0.998,0.058,0.982,0.794,0.675,0.73,0.98,9.0
0.016,0.995,0.952,0.9,0.925,0.999,0.06,0.981,0.771,0.683,0.725,0.979,10.0
0.014,0.996,0.962,0.92,0.941,0.999,0.064,0.981,0.784,0.667,0.721,0.977,11.0
0.012,0.997,0.968,0.936,0.952,0.999,0.067,0.98,0.749,0.7,0.723,0.978,12.0
0.01,0.997,0.974,0.947,0.96,1.0,0.071,0.98,0.74,0.714,0.727,0.978,13.0
0.009,0.998,0.978,0.958,0.968,1.0,0.073,0.98,0.748,0.699,0.723,0.977,14.0
0.008,0.998,0.982,0.966,0.974,1.0,0.077,0.98,0.765,0.67,0.714,0.976,15.0
0.007,0.998,0.984,0.972,0.978,1.0,0.081,0.98,0.78,0.656,0.713,0.973,16.0
0.006,0.999,0.986,0.978,0.982,1.0,0.087,0.98,0.783,0.641,0.705,0.974,17.0
0.006,0.999,0.987,0.98,0.984,1.0,0.087,0.98,0.76,0.671,0.713,0.974,18.0
0.005,0.999,0.989,0.983,0.986,1.0,0.092,0.98,0.768,0.666,0.713,0.974,19.0
0.005,0.999,0.989,0.985,0.987,1.0,0.096,0.98,0.737,0.693,0.714,0.974,20.0
0.005,0.999,0.99,0.986,0.988,1.0,0.099,0.979,0.718,0.719,0.719,0.974,21.0
0.004,0.999,0.99,0.988,0.989,1.0,0.1,0.98,0.762,0.669,0.712,0.974,22.0
0.004,0.999,0.991,0.989,0.99,1.0,0.103,0.98,0.755,0.67,0.71,0.972,23.0
0.004,0.999,0.991,0.99,0.991,1.0,0.105,0.98,0.769,0.657,0.708,0.972,24.0
0.004,0.999,0.992,0.989,0.99,1.0,0.107,0.979,0.731,0.697,0.714,0.972,25.0
0.004,0.999,0.992,0.991,0.991,1.0,0.111,0.98,0.758,0.671,0.712,0.973,26.0
0.004,0.999,0.993,0.991,0.992,1.0,0.112,0.979,0.735,0.695,0.714,0.974,27.0
0.004,0.999,0.992,0.991,0.992,1.0,0.117,0.979,0.706,0.724,0.715,0.974,28.0
0.004,0.999,0.992,0.991,0.992,1.0,0.121,0.98,0.751,0.679,0.713,0.972,29.0
0.003,0.999,0.993,0.992,0.993,1.0,0.121,0.979,0.737,0.669,0.701,0.972,30.0
0.003,0.999,0.993,0.992,0.993,1.0,0.119,0.98,0.758,0.67,0.711,0.973,31.0
0.004,0.999,0.992,0.992,0.992,1.0,0.124,0.98,0.772,0.647,0.704,0.972,32.0
0.003,0.999,0.993,0.992,0.993,1.0,0.13,0.98,0.784,0.633,0.7,0.971,33.0
0.004,0.999,0.993,0.991,0.992,1.0,0.126,0.979,0.715,0.708,0.711,0.974,34.0
0.003,0.999,0.993,0.993,0.993,1.0,0.127,0.98,0.753,0.668,0.708,0.971,35.0
0.003,1.0,0.994,0.993,0.993,1.0,0.132,0.98,0.738,0.69,0.713,0.974,36.0
0.003,0.999,0.993,0.993,0.993,1.0,0.136,0.978,0.689,0.731,0.709,0.974,37.0
0.003,1.0,0.994,0.993,0.994,1.0,0.131,0.98,0.757,0.661,0.706,0.971,38.0
0.003,0.999,0.993,0.992,0.993,1.0,0.133,0.979,0.747,0.671,0.707,0.972,39.0
0.003,1.0,0.994,0.993,0.994,1.0,0.138,0.978,0.706,0.715,0.71,0.973,40.0
0.004,0.999,0.993,0.993,0.993,1.0,0.137,0.98,0.758,0.674,0.713,0.973,41.0
0.003,1.0,0.994,0.993,0.994,1.0,0.139,0.98,0.759,0.67,0.712,0.971,42.0
0.003,1.0,0.994,0.994,0.994,1.0,0.139,0.979,0.713,0.711,0.712,0.973,43.0
0.003,1.0,0.994,0.993,0.993,1.0,0.139,0.98,0.759,0.662,0.707,0.973,44.0
0.003,1.0,0.994,0.994,0.994,1.0,0.139,0.979,0.743,0.675,0.707,0.972,45.0
0.003,1.0,0.994,0.993,0.993,1.0,0.143,0.98,0.764,0.668,0.713,0.971,46.0
0.003,1.0,0.994,0.993,0.994,1.0,0.146,0.979,0.758,0.648,0.699,0.973,47.0
0.003,1.0,0.995,0.994,0.994,1.0,0.144,0.979,0.716,0.709,0.712,0.973,48.0
0.003,1.0,0.994,0.994,0.994,1.0,0.147,0.979,0.728,0.689,0.708,0.972,49.0
0.003,1.0,0.994,0.994,0.994,1.0,0.144,0.979,0.739,0.677,0.707,0.97,50.0
