Training loss,Training accuracy,Training precision,Training recall,Training F1_score,Training AUROC,Validation loss,Validation accuracy,Validation precision,Validation recall,Validation F1_score,Validation AUROC,Epoch
0.094,0.97,0.719,0.309,0.432,0.923,0.079,0.973,0.835,0.357,0.5,0.956,1.0
0.074,0.975,0.768,0.458,0.574,0.957,0.072,0.975,0.78,0.474,0.59,0.962,2.0
0.07,0.976,0.776,0.482,0.595,0.963,0.075,0.974,0.666,0.603,0.633,0.965,3.0
0.067,0.977,0.784,0.502,0.612,0.966,0.073,0.975,0.683,0.591,0.634,0.967,4.0
0.065,0.977,0.786,0.512,0.62,0.968,0.068,0.977,0.824,0.469,0.598,0.968,5.0
0.063,0.978,0.793,0.524,0.631,0.97,0.066,0.977,0.742,0.569,0.644,0.969,6.0
0.062,0.978,0.795,0.535,0.64,0.972,0.065,0.977,0.777,0.543,0.639,0.969,7.0
0.061,0.978,0.799,0.546,0.649,0.973,0.065,0.977,0.81,0.5,0.618,0.97,8.0
0.06,0.979,0.801,0.553,0.655,0.975,0.068,0.976,0.835,0.454,0.588,0.969,9.0
0.059,0.979,0.8,0.558,0.658,0.975,0.072,0.976,0.866,0.417,0.563,0.968,10.0
0.058,0.979,0.803,0.569,0.666,0.977,0.067,0.976,0.699,0.611,0.652,0.971,11.0
0.057,0.979,0.804,0.572,0.669,0.977,0.065,0.977,0.78,0.542,0.639,0.97,12.0
0.056,0.98,0.809,0.58,0.675,0.978,0.071,0.976,0.872,0.418,0.565,0.97,13.0
0.055,0.98,0.81,0.586,0.68,0.979,0.068,0.977,0.835,0.463,0.595,0.97,14.0
0.055,0.98,0.81,0.589,0.682,0.98,0.065,0.977,0.795,0.525,0.632,0.971,15.0
0.054,0.98,0.813,0.599,0.69,0.98,0.069,0.977,0.813,0.482,0.605,0.97,16.0
0.053,0.98,0.813,0.603,0.692,0.981,0.065,0.977,0.745,0.581,0.653,0.971,17.0
0.052,0.981,0.815,0.617,0.702,0.982,0.072,0.976,0.818,0.461,0.59,0.967,18.0
0.052,0.981,0.818,0.618,0.704,0.982,0.068,0.976,0.702,0.611,0.653,0.969,19.0
0.051,0.981,0.818,0.627,0.71,0.983,0.07,0.975,0.663,0.652,0.657,0.97,20.0
0.05,0.981,0.818,0.628,0.71,0.983,0.071,0.975,0.665,0.64,0.652,0.969,21.0
0.049,0.982,0.822,0.639,0.719,0.984,0.075,0.976,0.805,0.469,0.592,0.965,22.0
0.048,0.982,0.826,0.643,0.723,0.985,0.069,0.976,0.698,0.607,0.649,0.969,23.0
0.048,0.982,0.828,0.65,0.728,0.985,0.072,0.975,0.696,0.574,0.629,0.966,24.0
0.047,0.983,0.831,0.656,0.733,0.986,0.068,0.976,0.712,0.597,0.649,0.968,25.0
0.046,0.983,0.834,0.66,0.737,0.986,0.072,0.976,0.797,0.485,0.603,0.965,26.0
0.045,0.983,0.837,0.669,0.743,0.987,0.069,0.976,0.704,0.608,0.653,0.968,27.0
0.044,0.983,0.838,0.671,0.745,0.988,0.077,0.973,0.623,0.667,0.645,0.968,28.0
0.044,0.983,0.834,0.672,0.744,0.988,0.078,0.976,0.801,0.473,0.595,0.964,29.0
0.043,0.984,0.842,0.682,0.754,0.988,0.075,0.976,0.794,0.494,0.609,0.964,30.0
0.043,0.984,0.845,0.685,0.757,0.989,0.073,0.975,0.686,0.606,0.644,0.965,31.0
0.042,0.984,0.848,0.692,0.762,0.989,0.074,0.974,0.673,0.604,0.637,0.963,32.0
0.041,0.985,0.851,0.699,0.768,0.99,0.086,0.976,0.827,0.445,0.579,0.961,33.0
0.04,0.985,0.851,0.704,0.771,0.99,0.077,0.976,0.75,0.524,0.617,0.963,34.0
0.039,0.985,0.854,0.711,0.776,0.991,0.075,0.976,0.723,0.566,0.635,0.965,35.0
0.039,0.985,0.857,0.715,0.78,0.991,0.077,0.976,0.733,0.553,0.631,0.962,36.0
0.038,0.985,0.858,0.721,0.784,0.992,0.078,0.974,0.667,0.606,0.635,0.963,37.0
0.038,0.985,0.858,0.72,0.783,0.991,0.08,0.974,0.669,0.606,0.636,0.963,38.0
0.037,0.986,0.863,0.729,0.791,0.992,0.083,0.976,0.76,0.506,0.608,0.962,39.0
0.037,0.986,0.863,0.731,0.792,0.992,0.081,0.974,0.663,0.608,0.634,0.963,40.0
0.036,0.986,0.868,0.739,0.798,0.993,0.084,0.975,0.738,0.521,0.611,0.957,41.0
0.035,0.986,0.868,0.741,0.799,0.993,0.084,0.975,0.702,0.563,0.625,0.956,42.0
0.034,0.987,0.872,0.746,0.804,0.993,0.085,0.976,0.737,0.537,0.622,0.958,43.0
0.034,0.987,0.872,0.748,0.805,0.993,0.084,0.974,0.686,0.571,0.623,0.96,44.0
0.033,0.987,0.877,0.757,0.813,0.994,0.091,0.976,0.76,0.503,0.605,0.956,45.0
0.033,0.987,0.873,0.76,0.813,0.994,0.088,0.975,0.724,0.528,0.611,0.958,46.0
0.032,0.987,0.877,0.762,0.815,0.994,0.093,0.976,0.755,0.506,0.606,0.953,47.0
0.032,0.988,0.879,0.767,0.82,0.994,0.09,0.975,0.727,0.545,0.623,0.957,48.0
0.031,0.988,0.88,0.773,0.823,0.995,0.092,0.975,0.736,0.526,0.613,0.956,49.0
0.03,0.988,0.885,0.78,0.829,0.995,0.108,0.966,0.534,0.685,0.6,0.958,50.0
