Training loss,Training accuracy,Training precision,Training recall,Training F1_score,Training AUROC,Validation loss,Validation accuracy,Validation precision,Validation recall,Validation F1_score,Validation AUROC,Epoch
0.461,0.872,0.149,0.531,0.233,0.757,0.28,0.953,0.417,0.687,0.519,0.838,1.0
0.211,0.97,0.618,0.447,0.518,0.848,0.155,0.973,0.676,0.516,0.585,0.867,2.0
0.14,0.972,0.694,0.442,0.54,0.888,0.11,0.975,0.781,0.431,0.556,0.904,3.0
0.111,0.973,0.713,0.436,0.541,0.912,0.097,0.975,0.733,0.504,0.598,0.93,4.0
0.097,0.973,0.725,0.441,0.549,0.923,0.089,0.975,0.75,0.487,0.59,0.953,5.0
0.089,0.974,0.736,0.449,0.558,0.939,0.082,0.976,0.748,0.505,0.603,0.952,6.0
0.085,0.974,0.737,0.443,0.553,0.939,0.076,0.976,0.79,0.473,0.591,0.955,7.0
0.081,0.974,0.745,0.455,0.565,0.947,0.075,0.976,0.775,0.471,0.586,0.957,8.0
0.08,0.974,0.736,0.457,0.564,0.95,0.072,0.976,0.795,0.48,0.599,0.956,9.0
0.078,0.974,0.738,0.466,0.571,0.953,0.071,0.976,0.776,0.501,0.609,0.962,10.0
0.077,0.974,0.739,0.464,0.57,0.953,0.073,0.976,0.762,0.514,0.614,0.96,11.0
0.076,0.974,0.742,0.462,0.569,0.955,0.071,0.976,0.797,0.457,0.581,0.962,12.0
0.076,0.974,0.741,0.462,0.569,0.955,0.071,0.976,0.778,0.483,0.596,0.961,13.0
0.076,0.974,0.741,0.466,0.572,0.955,0.07,0.976,0.766,0.505,0.609,0.963,14.0
0.075,0.975,0.737,0.478,0.58,0.957,0.07,0.977,0.779,0.503,0.611,0.963,15.0
0.075,0.974,0.738,0.468,0.573,0.957,0.071,0.976,0.767,0.489,0.597,0.962,16.0
0.075,0.974,0.738,0.468,0.573,0.957,0.072,0.976,0.758,0.506,0.607,0.96,17.0
0.075,0.974,0.741,0.465,0.571,0.956,0.068,0.976,0.765,0.516,0.616,0.965,18.0
0.074,0.975,0.742,0.471,0.576,0.957,0.07,0.976,0.763,0.52,0.618,0.962,19.0
0.074,0.975,0.744,0.468,0.575,0.957,0.069,0.977,0.783,0.5,0.611,0.964,20.0
0.074,0.974,0.737,0.468,0.573,0.957,0.069,0.976,0.763,0.52,0.618,0.964,21.0
0.074,0.974,0.734,0.474,0.576,0.957,0.069,0.976,0.783,0.488,0.601,0.964,22.0
0.075,0.974,0.737,0.464,0.569,0.957,0.068,0.977,0.753,0.537,0.627,0.964,23.0
0.074,0.974,0.738,0.46,0.567,0.957,0.071,0.976,0.743,0.528,0.618,0.963,24.0
0.074,0.975,0.741,0.47,0.575,0.957,0.069,0.976,0.733,0.557,0.633,0.964,25.0
0.073,0.975,0.744,0.475,0.58,0.958,0.069,0.977,0.755,0.537,0.628,0.964,26.0
0.074,0.975,0.743,0.475,0.579,0.957,0.069,0.977,0.747,0.545,0.63,0.962,27.0
0.074,0.975,0.742,0.469,0.575,0.958,0.068,0.977,0.768,0.524,0.623,0.964,28.0
0.074,0.974,0.735,0.475,0.577,0.957,0.069,0.977,0.778,0.512,0.618,0.962,29.0
0.074,0.975,0.749,0.47,0.578,0.957,0.07,0.976,0.782,0.495,0.606,0.962,30.0
0.074,0.975,0.742,0.47,0.575,0.958,0.068,0.977,0.784,0.515,0.622,0.964,31.0
0.073,0.975,0.74,0.478,0.581,0.958,0.069,0.977,0.769,0.522,0.622,0.963,32.0
0.073,0.975,0.746,0.477,0.582,0.959,0.068,0.977,0.775,0.52,0.622,0.964,33.0
0.073,0.975,0.743,0.48,0.583,0.959,0.069,0.976,0.785,0.493,0.605,0.964,34.0
0.074,0.974,0.74,0.466,0.572,0.957,0.069,0.976,0.772,0.507,0.612,0.963,35.0
0.073,0.975,0.742,0.477,0.581,0.959,0.069,0.977,0.778,0.518,0.622,0.963,36.0
0.074,0.975,0.745,0.475,0.581,0.956,0.07,0.976,0.782,0.494,0.605,0.961,37.0
0.074,0.975,0.743,0.478,0.581,0.957,0.069,0.977,0.779,0.519,0.623,0.962,38.0
0.074,0.974,0.738,0.47,0.575,0.958,0.069,0.976,0.786,0.484,0.599,0.963,39.0
0.074,0.974,0.732,0.473,0.575,0.957,0.071,0.976,0.789,0.47,0.589,0.961,40.0
0.074,0.975,0.743,0.471,0.576,0.957,0.069,0.977,0.775,0.507,0.613,0.963,41.0
0.073,0.975,0.743,0.474,0.579,0.958,0.069,0.977,0.793,0.496,0.61,0.963,42.0
0.073,0.975,0.744,0.474,0.579,0.958,0.069,0.976,0.781,0.492,0.603,0.963,43.0
0.073,0.975,0.745,0.479,0.583,0.959,0.069,0.976,0.769,0.508,0.612,0.962,44.0
0.073,0.975,0.744,0.479,0.583,0.958,0.068,0.976,0.766,0.505,0.608,0.965,45.0
0.073,0.975,0.744,0.476,0.58,0.959,0.068,0.977,0.766,0.518,0.618,0.964,46.0
0.074,0.975,0.739,0.472,0.576,0.958,0.068,0.976,0.8,0.477,0.597,0.965,47.0
0.073,0.975,0.74,0.473,0.577,0.959,0.068,0.977,0.77,0.524,0.623,0.963,48.0
0.073,0.975,0.746,0.476,0.581,0.958,0.068,0.977,0.806,0.488,0.608,0.964,49.0
0.074,0.975,0.744,0.472,0.578,0.958,0.068,0.977,0.768,0.527,0.625,0.964,50.0
