Training loss,Training accuracy,Training precision,Training recall,Training F1_score,Training AUROC,Validation loss,Validation accuracy,Validation precision,Validation recall,Validation F1_score,Validation AUROC,Epoch
0.112,0.965,0.585,0.144,0.232,0.89,0.141,0.963,0.494,0.036,0.067,0.822,1.0
0.074,0.974,0.76,0.445,0.562,0.96,0.163,0.963,0.346,0.024,0.045,0.798,2.0
0.051,0.982,0.835,0.64,0.725,0.983,0.207,0.961,0.27,0.047,0.08,0.777,3.0
0.036,0.987,0.875,0.759,0.813,0.992,0.259,0.96,0.224,0.043,0.072,0.75,4.0
0.028,0.99,0.901,0.823,0.86,0.996,0.328,0.957,0.223,0.067,0.103,0.743,5.0
0.022,0.992,0.919,0.86,0.888,0.998,0.383,0.959,0.218,0.043,0.072,0.746,6.0
0.018,0.993,0.928,0.887,0.907,0.998,0.433,0.959,0.212,0.04,0.068,0.733,7.0
0.016,0.994,0.936,0.902,0.919,0.999,0.489,0.957,0.196,0.059,0.091,0.706,8.0
0.013,0.995,0.944,0.919,0.931,0.999,0.58,0.958,0.2,0.048,0.077,0.701,9.0
0.011,0.996,0.953,0.934,0.943,0.999,0.567,0.955,0.182,0.064,0.094,0.707,10.0
0.009,0.997,0.961,0.945,0.953,1.0,0.74,0.958,0.187,0.042,0.069,0.682,11.0
0.009,0.997,0.963,0.95,0.956,1.0,0.684,0.958,0.202,0.05,0.08,0.695,12.0
0.008,0.997,0.967,0.96,0.963,1.0,0.788,0.958,0.201,0.047,0.076,0.68,13.0
0.006,0.998,0.972,0.965,0.969,1.0,0.863,0.957,0.199,0.058,0.09,0.675,14.0
0.006,0.998,0.974,0.968,0.971,1.0,0.794,0.957,0.196,0.062,0.094,0.683,15.0
0.005,0.998,0.976,0.973,0.975,1.0,0.872,0.957,0.195,0.056,0.087,0.68,16.0
0.005,0.998,0.979,0.976,0.977,1.0,0.946,0.959,0.221,0.048,0.079,0.681,17.0
0.006,0.998,0.979,0.978,0.979,1.0,0.893,0.956,0.182,0.063,0.093,0.673,18.0
0.005,0.999,0.983,0.981,0.982,1.0,0.913,0.957,0.19,0.057,0.087,0.674,19.0
0.004,0.999,0.985,0.983,0.984,1.0,0.958,0.957,0.192,0.058,0.089,0.666,20.0
0.004,0.999,0.986,0.985,0.986,1.0,1.067,0.957,0.206,0.059,0.092,0.666,21.0
0.004,0.999,0.985,0.985,0.985,1.0,0.976,0.957,0.198,0.057,0.088,0.674,22.0
0.003,0.999,0.989,0.987,0.988,1.0,0.942,0.957,0.198,0.058,0.09,0.672,23.0
0.003,0.999,0.99,0.989,0.99,1.0,1.097,0.955,0.193,0.072,0.104,0.652,24.0
0.004,0.999,0.987,0.986,0.986,1.0,0.954,0.956,0.184,0.059,0.09,0.662,25.0
0.003,0.999,0.992,0.992,0.992,1.0,1.027,0.956,0.188,0.062,0.093,0.669,26.0
0.003,0.999,0.991,0.99,0.991,1.0,1.042,0.956,0.186,0.061,0.091,0.667,27.0
0.003,0.999,0.993,0.992,0.992,1.0,1.106,0.956,0.191,0.063,0.095,0.657,28.0
0.002,0.999,0.993,0.993,0.993,1.0,1.232,0.958,0.202,0.052,0.083,0.656,29.0
0.004,0.999,0.989,0.989,0.989,1.0,1.101,0.957,0.201,0.056,0.088,0.654,30.0
0.003,0.999,0.992,0.992,0.992,1.0,1.071,0.956,0.19,0.062,0.093,0.68,31.0
0.004,0.999,0.991,0.99,0.99,1.0,1.139,0.956,0.2,0.064,0.097,0.63,32.0
0.003,0.999,0.992,0.993,0.993,1.0,0.893,0.955,0.18,0.066,0.097,0.668,33.0
0.003,1.0,0.994,0.993,0.994,1.0,1.232,0.956,0.192,0.063,0.094,0.639,34.0
0.003,1.0,0.993,0.993,0.993,1.0,1.159,0.957,0.189,0.055,0.085,0.628,35.0
0.003,1.0,0.995,0.993,0.994,1.0,1.065,0.956,0.195,0.065,0.097,0.638,36.0
0.002,1.0,0.995,0.995,0.995,1.0,1.144,0.957,0.195,0.054,0.084,0.633,37.0
0.002,1.0,0.994,0.994,0.994,1.0,1.067,0.956,0.182,0.062,0.092,0.629,38.0
0.003,0.999,0.993,0.991,0.992,1.0,1.004,0.958,0.208,0.055,0.086,0.68,39.0
0.002,1.0,0.994,0.993,0.994,1.0,0.964,0.956,0.187,0.061,0.091,0.672,40.0
0.003,1.0,0.994,0.993,0.993,1.0,0.963,0.956,0.19,0.067,0.099,0.668,41.0
0.003,1.0,0.994,0.994,0.994,1.0,1.071,0.958,0.202,0.052,0.083,0.653,42.0
0.002,1.0,0.994,0.994,0.994,1.0,1.064,0.955,0.188,0.071,0.103,0.668,43.0
0.002,1.0,0.995,0.995,0.995,1.0,1.123,0.957,0.191,0.058,0.089,0.639,44.0
0.002,1.0,0.996,0.995,0.995,1.0,1.243,0.958,0.203,0.052,0.082,0.635,45.0
0.002,1.0,0.996,0.996,0.996,1.0,1.164,0.956,0.197,0.069,0.102,0.656,46.0
0.003,1.0,0.995,0.994,0.994,1.0,1.121,0.958,0.199,0.052,0.082,0.641,47.0
0.003,1.0,0.994,0.994,0.994,1.0,1.119,0.958,0.199,0.053,0.083,0.631,48.0
0.003,1.0,0.995,0.995,0.995,1.0,0.907,0.956,0.19,0.059,0.09,0.643,49.0
0.004,1.0,0.995,0.994,0.994,1.0,0.95,0.958,0.202,0.054,0.085,0.665,50.0
